stock_code,entry_datetime,exit_datetime,entry_price,exit_price,shares,position_value,exit_value,pnl,pnl_pct,candles_held,entry_reason,exit_reason,capital_after_trade
IIFWEA,2025-04-16 14:35:00,2025-04-17 09:15:00,929.1,959.75,159,147726.9,152600.25,4873.350000000006,3.298891400279845,12,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",PROFIT_TARGET: 3.30%,993612.7999999998
IIFWEA,2025-04-17 13:15:00,2025-04-17 14:15:00,974.8,969.5,152,148169.6,147364.0,-805.6000000000058,-0.5437012720558102,12,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: -0.54%,992807.1999999998
IIFWEA,2025-04-17 15:25:00,2025-04-21 10:15:00,956.45,980.0,155,148249.75,151900.0,3650.25,2.46223012180459,14,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",PROFIT_TARGET: 2.46%,996457.4499999998
IIFWEA,2025-04-21 12:25:00,2025-04-21 13:45:00,965.0,964.4,154,148610.0,148517.6,-92.39999999999418,-0.06217616580310489,16,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: -0.06%,996365.0499999998
IIFWEA,2025-04-21 15:00:00,2025-04-21 15:15:00,951.0,952.25,157,149307.0,149503.25,196.25,0.13144058885383808,3,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: 0.13%,996561.2999999998
IIFWEA,2025-04-21 15:25:00,2025-04-22 09:25:00,949.0,955.7,157,148993.0,150044.9,1051.8999999999942,0.7060063224446746,4,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: 0.71%,997613.1999999998
IIFWEA,2025-04-23 12:30:00,2025-04-23 14:30:00,1039.0,1043.25,144,149616.0,150228.0,612.0,0.40904716073147257,24,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: 0.41%,998225.1999999998
IIFWEA,2025-04-24 09:20:00,2025-04-24 09:45:00,1035.25,1040.5,144,149076.0,149832.0,756.0,0.5071238831200193,5,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: 0.51%,998981.1999999998
IIFWEA,2025-04-24 13:25:00,2025-04-24 13:50:00,1035.95,1024.75,144,149176.80000000002,147564.0,-1612.8000000000175,-1.0811332593271992,5,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",STOP_LOSS: -1.08%,997368.3999999998
IIFWEA,2025-04-24 14:55:00,2025-04-24 15:10:00,1013.9,1013.85,147,149043.3,149035.95,-7.349999999976717,-0.004931452805981025,3,"Entry signals: RSI_RECOVERY, MACD_POSITIVE, BB_OVERSOLD",TRAILING_STOP: -0.00%,997361.0499999998
IIFWEA,2025-04-25 09:20:00,2025-04-25 09:35:00,991.35,995.6,150,148702.5,149340.0,637.5,0.42870832702879913,3,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: 0.43%,997998.5499999998
IIFWEA,2025-04-25 10:50:00,2025-04-25 13:35:00,976.25,986.9,153,149366.25,150995.69999999998,1629.4499999999825,1.0909090909090793,33,"Entry signals: RSI_RECOVERY, MACD_POSITIVE, HIGH_VOLUME","TECHNICAL_EXIT (RSI_OVERBOUGHT, BB_OVERBOUGHT): 1.09%",999627.9999999998
IIFWEA,2025-04-25 14:40:00,2025-04-25 15:00:00,976.85,974.1,153,149458.05000000002,149037.30000000002,-420.75,-0.28151712135947177,4,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: -0.28%,999207.2499999998
